Index,Quality,Value
0,0,false
1,0,false
2,0,false
3,1,true
4,0,false
5,0,false
6,0,false
7,0,false
8,0,false
9,0,false
10,1,true
11,1,false
12,1,false
13,1,false
14,0,false
15,0,false
16,1,true
17,1,false
18,0,false
19,0,false
20,0,false
21,0,false
22,0,false
23,0,false
24,0,false
25,1,true
26,0,false
27,1,true
28,1,false
29,1,true
30,1,false
31,0,false
32,0,false
33,0,false
34,0,false
35,0,false
36,0,false
37,0,false
38,0,false
39,0,false
40,0,false
41,0,false
42,1,true
43,1,false
44,1,false
45,1,false
46,1,false
47,1,false
48,1,false
49,1,false
